X,Y,Numerical Solution (in K)
0.0505051,0.383838,99.8399
0.0505051,0.393939,99.8382
0.0505051,0.40404,99.8366
0.0505051,0.414141,99.8351
0.0505051,0.424242,99.8338
0.0505051,0.434343,99.8327
0.0505051,0.444444,99.8318
0.0505051,0.454545,99.831
0.0505051,0.464646,99.8304
0.0505051,0.474747,99.83
0.0505051,0.484848,99.8297
0.0505051,0.494949,99.8296
0.0505051,0.505051,99.8297
0.0505051,0.515152,99.83
0.0505051,0.525253,99.8304
0.0505051,0.535354,99.831
0.0505051,0.545455,99.8318
0.0505051,0.555556,99.8327
0.0505051,0.565657,99.8338
0.0505051,0.575758,99.8351
0.0505051,0.585859,99.8365
0.0505051,0.59596,99.8381
0.0505051,0.606061,99.8399
0.0505051,0.616162,99.8418
0.0505051,0.626263,99.8439
0.0505051,0.636364,99.8461
0.0505051,0.646465,99.8485
0.0505051,0.656566,99.851
0.0505051,0.666667,99.8537
0.0505051,0.676768,99.8565
0.0505051,0.686869,99.8595
0.0505051,0.69697,99.8626
0.0505051,0.707071,99.8658
0.0505051,0.717172,99.8692
0.0505051,0.727273,99.8727
0.0505051,0.737374,99.8763
0.0505051,0.747475,99.8801
0.0505051,0.757576,99.8839
0.0505051,0.767677,99.8879
0.0505051,0.777778,99.892
0.0505051,0.787879,99.8962
0.0505051,0.79798,99.9005
0.0505051,0.808081,99.9049
0.0505051,0.818182,99.9093
0.0505051,0.828283,99.9139
0.0505051,0.838384,99.9186
0.0505051,0.848485,99.9233
0.0505051,0.858586,99.9281
0.0505051,0.868687,99.9329
0.0505051,0.878788,99.9379
0.0505051,0.888889,99.9429
0.0505051,0.89899,99.9479
0.0505051,0.909091,99.953
0.0505051,0.919192,99.9581
0.0505051,0.929293,99.9633
0.0505051,0.939394,99.9685
0.0505051,0.949495,99.9737
0.0505051,0.959596,99.9789
0.0505051,0.969697,99.9842
0.0505051,0.979798,99.9895
0.0505051,0.989899,99.9947
0.0505051,1,100
0.0606061,0,100
0.0606061,0.010101,99.9934
0.0606061,0.020202,99.9868
0.0606061,0.030303,99.9802
0.0606061,0.040404,99.9736
0.0606061,0.0505051,99.967
0.0606061,0.0606061,99.9605
0.0606061,0.0707071,99.9541
0.0606061,0.0808081,99.9477
0.0606061,0.0909091,99.9414
0.0606061,0.10101,99.9351
0.0606061,0.111111,99.9289
0.0606061,0.121212,99.9228
0.0606061,0.131313,99.9167
0.0606061,0.141414,99.9108
0.0606061,0.151515,99.9049
0.0606061,0.161616,99.8992
0.0606061,0.171717,99.8935
0.0606061,0.181818,99.888
0.0606061,0.191919,99.8826
0.0606061,0.20202,99.8773
0.0606061,0.212121,99.8721
0.0606061,0.222222,99.8671
0.0606061,0.232323,99.8622
0.0606061,0.242424,99.8574
0.0606061,0.252525,99.8528
0.0606061,0.262626,99.8484
0.0606061,0.272727,99.8441
0.0606061,0.282828,99.84
0.0606061,0.292929,99.836
0.0606061,0.30303,99.8322
0.0606061,0.313131,99.8286
0.0606061,0.323232,99.8252
0.0606061,0.333333,99.8219
0.0606061,0.343434,99.8188
0.0606061,0.353535,99.8159
0.0606061,0.363636,99.8132
0.0606061,0.373737,99.8107
0.0606061,0.383838,99.8084
0.0606061,0.393939,99.8063
0.0606061,0.40404,99.8043
0.0606061,0.414141,99.8026
0.0606061,0.424242,99.8011
0.0606061,0.434343,99.7997
0.0606061,0.444444,99.7986
0.0606061,0.454545,99.7977
